,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jackson Irvine,MF,33-086,15,15,"1,261",14.0,3,1,4,3,0,0,1,0,0.21,0.07,0.29,0.21,0.29,Matches
Mathew Ryan,GK,34-054,12,12,"1,080",12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Harry Souttar,DF,27-222,12,12,"1,080",12.0,2,0,2,2,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches
Cameron Burgess,DF,30-223,13,12,"1,036",11.5,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches
Aziz Behich,"MF,DF",35-167,15,10,954,10.6,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches
Lewis Miller,"MF,DF",25-281,10,9,786,8.7,2,1,3,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,Matches
Mitchell Duke,FW,35-134,13,9,737,8.2,3,1,4,3,0,0,0,0,0.37,0.12,0.49,0.37,0.49,Matches
Connor Metcalfe,"MF,FW",26-208,10,9,730,8.1,1,2,3,1,0,0,1,0,0.12,0.25,0.37,0.12,0.37,Matches
Aiden O'Neill,MF,27-332,11,7,674,7.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kye Rowles,DF,27-342,8,7,631,7.0,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches
Craig Goodwin,"MF,FW",34-167,9,7,581,6.5,3,6,9,3,0,0,2,0,0.46,0.93,1.39,0.46,1.39,Matches
Jason Geria,DF,33-022,8,5,546,6.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jordy Bos,DF,23-215,10,5,513,5.7,0,2,2,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,Matches
Kusini Yengi,FW,27-137,8,6,461,5.1,6,0,6,5,1,1,0,1,1.17,0.00,1.17,0.98,0.98,Matches
Joe Gauci,GK,25-332,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alessandro Circati,DF,22-234,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Martin Boyle,"FW,MF",33-037,7,7,442,4.9,2,2,4,1,1,1,1,0,0.41,0.41,0.81,0.20,0.61,Matches
Keanu Baccus,MF,27-359,6,5,405,4.5,1,0,1,1,0,0,4,0,0.22,0.00,0.22,0.22,0.22,Matches
Riley McGree,MF,27-211,7,4,390,4.3,0,1,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches
Ajdin Hrustic,MF,29-331,8,4,332,3.7,0,1,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,Matches
Brandon Borrello,"FW,MF",30-311,7,3,320,3.6,1,0,1,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,Matches
Miloš Degenek,DF,32-034,4,3,274,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nestory Irankunda,FW,20-112,6,3,231,2.6,1,0,1,0,1,1,0,0,0.39,0.00,0.39,0.00,0.00,Matches
Nishan Velupillay,FW,25-025,6,2,230,2.6,3,0,3,3,0,0,0,0,1.17,0.00,1.17,1.17,1.17,Matches
Adam Taggart,FW,32-364,5,3,227,2.5,1,1,2,1,0,0,0,0,0.40,0.40,0.79,0.40,0.79,Matches
Patrick Yazbek,MF,24-057,4,1,202,2.2,0,1,1,0,0,0,1,0,0.00,0.45,0.45,0.00,0.45,Matches
Gethin Jones,"MF,DF",30-231,2,2,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mathew Leckie,MF,35-117,2,2,148,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ryan Teague,MF,24-128,3,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Anthony Cáceres,MF,33-245,4,1,117,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ryan Strain,DF,29-060,2,2,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mo Touré,FW,22-067,2,1,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sam Silvera,MF,25-219,2,1,99,1.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Joshua Nisbet,MF,26-351,3,0,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hayden Matthews,DF,21-347,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nathaniel Atkinson,DF,26-353,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Herrington,DF,18-269,1,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jacob Italiano,MF,24-306,1,1,66,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Arzani,"FW,MF",27-148,4,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Thomas Deng,DF,29-073,2,1,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
John Iredale,FW,26-304,2,0,49,0.5,1,0,1,1,0,0,0,0,1.84,0.00,1.84,1.84,1.84,Matches
Jamie Maclaren,FW,32-307,2,0,46,0.5,3,0,3,3,0,0,0,0,5.87,0.00,5.87,5.87,5.87,Matches
Massimo Luongo,MF,33-249,1,0,45,0.5,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Luke Brattan,MF,36-085,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Awer Mabil,"FW,MF",30-259,3,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fran Karačić,DF,30-020,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Apostolos Stamatelopoulos,FW,27-053,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kai Trewin,"DF,MF",25-014,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Paul Okon-Engstler,MF,21-128,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Cammy Devlin,MF,27-359,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marco Tilio,MF,24-282,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Max Balard,MF,25-193,0,0,,,,,,,,,,,,,,,,Matches
Kasey Bos,DF,22-024,0,0,,,,,,,,,,,,,,,,Matches
Patrick Beach,GK,22-299,0,0,,,,,,,,,,,,,,,,Matches
Alex Grant,,,,,,,,,,,,,,,,,,,,