player_name,position,club,iso_code,team_name,player_norm
Lawrence Shankland,4 FW,Heart of Midlothian,SCO,Scotland,lawrence shankland
Craig Gordon,1 GK,Heart of Midlothian,SCO,Scotland,craig gordon
Nathan Patterson,2 DF,Everton,SCO,Scotland,nathan patterson
Kenny McLean,3 MF,Norwich City,SCO,Scotland,kenny mclean
Anthony Ralston,2 DF,Celtic,SCO,Scotland,anthony ralston
Findlay Curtis,4 FW,Kilmarnock,SCO,Scotland,findlay curtis
Scott McKenna,2 DF,Dinamo Zagreb,SCO,Scotland,scott mckenna
Mathew Ryan ( captain ),1 GK,Levante,AUS,Australia,mathew ryan
Miloš Degenek,2 DF,APOEL,AUS,Australia,milos degenek
Alessandro Circati,2 DF,Parma,AUS,Australia,alessandro circati
Jacob Italiano,2 DF,GAK,AUS,Australia,jacob italiano
Jordan Bos,2 DF,Feyenoord,AUS,Australia,jordan bos
Jason Geria,2 DF,Albirex Niigata,AUS,Australia,jason geria
Mathew Leckie,4 FW,Melbourne City,AUS,Australia,mathew leckie
Connor Metcalfe,3 MF,FC St. Pauli,AUS,Australia,connor metcalfe
Mohamed Touré,4 FW,Norwich City,AUS,Australia,mohamed toure
Ajdin Hrustic,4 FW,Heracles Almelo,AUS,Australia,ajdin hrustic
Awer Mabil,4 FW,Castellón,AUS,Australia,awer mabil
Paul Izzo,1 GK,Randers,AUS,Australia,paul izzo
Aiden O'Neill,3 MF,New York City FC,AUS,Australia,aiden o'neill
Cammy Devlin,3 MF,Heart of Midlothian,AUS,Australia,cammy devlin
Kai Trewin,2 DF,New York City FC,AUS,Australia,kai trewin
Aziz Behich,2 DF,Melbourne City,AUS,Australia,aziz behich
Nestory Irankunda,4 FW,Watford,AUS,Australia,nestory irankunda
Patrick Beach,1 GK,Melbourne City,AUS,Australia,patrick beach
Harry Souttar,2 DF,Leicester City,AUS,Australia,harry souttar
Cristian Volpato,4 FW,Sassuolo,AUS,Australia,cristian volpato
Cameron Burgess,2 DF,Swansea City,AUS,Australia,cameron burgess
Jackson Irvine,3 MF,FC St. Pauli,AUS,Australia,jackson irvine
Nishan Velupillay,4 FW,Melbourne Victory,AUS,Australia,nishan velupillay
Paul Okon-Engstler,3 MF,Sydney FC,AUS,Australia,paul okon-engstler
Lucas Herrington,2 DF,Colorado Rapids,AUS,Australia,lucas herrington
Tete Yengi,4 FW,Machida Zelvia,AUS,Australia,tete yengi
Gatito Fernández,1 GK,Cerro Porteño,PRY,Paraguay,gatito fernandez
Gustavo Velázquez,2 DF,Cerro Porteño,PRY,Paraguay,gustavo velazquez
Omar Alderete,2 DF,Sunderland,PRY,Paraguay,omar alderete
Juan José Cáceres,2 DF,Dynamo Moscow,PRY,Paraguay,juan jose caceres
Fabián Balbuena,2 DF,Grêmio,PRY,Paraguay,fabian balbuena
Júnior Alonso,2 DF,Atlético Mineiro,PRY,Paraguay,junior alonso
Ramón Sosa,3 MF,Palmeiras,PRY,Paraguay,ramon sosa
Diego Gómez,3 MF,Brighton & Hove Albion,PRY,Paraguay,diego gomez
Antonio Sanabria,4 FW,Cremonese,PRY,Paraguay,antonio sanabria
Miguel Almirón,3 MF,Atlanta United FC,PRY,Paraguay,miguel almiron
Maurício,3 MF,Palmeiras,PRY,Paraguay,mauricio
Orlando Gill,1 GK,San Lorenzo,PRY,Paraguay,orlando gill
José Canale,2 DF,Lanús,PRY,Paraguay,jose canale
Andrés Cubas,3 MF,Vancouver Whitecaps FC,PRY,Paraguay,andres cubas
Gustavo Gómez ( captain ),2 DF,Palmeiras,PRY,Paraguay,gustavo gomez
Damián Bobadilla,3 MF,São Paulo,PRY,Paraguay,damian bobadilla
Kaku,4 FW,Al-Ain,PRY,Paraguay,kaku
Álex Arce,4 FW,Independiente Rivadavia,PRY,Paraguay,alex arce
Julio Enciso,4 FW,Strasbourg,PRY,Paraguay,julio enciso
Braian Ojeda,3 MF,Orlando City SC,PRY,Paraguay,braian ojeda
Gabriel Ávalos,4 FW,Independiente,PRY,Paraguay,gabriel avalos
Gastón Olveira,1 GK,Olimpia,PRY,Paraguay,gaston olveira
Matías Galarza,3 MF,Atlanta United FC,PRY,Paraguay,matias galarza
Gustavo Caballero,3 MF,Portsmouth,PRY,Paraguay,gustavo caballero
Isidro Pitta,4 FW,Red Bull Bragantino,PRY,Paraguay,isidro pitta
Alexandro Maidana,2 DF,Talleres,PRY,Paraguay,alexandro maidana
Mert Günok,1 GK,Fenerbahçe,TUR,Turkey,mert gunok
Zeki Çelik,2 DF,Roma,TUR,Turkey,zeki celik
Merih Demiral,2 DF,Al-Ahli,TUR,Turkey,merih demiral
Çağlar Söyüncü,2 DF,Fenerbahçe,TUR,Turkey,caglar soyuncu
Salih Özcan,3 MF,Borussia Dortmund,TUR,Turkey,salih ozcan
Orkun Kökçü,3 MF,Beşiktaş,TUR,Turkey,orkun kokcu
Kerem Aktürkoğlu,4 FW,Fenerbahçe,TUR,Turkey,kerem akturkoglu
Arda Güler,4 FW,Real Madrid,TUR,Turkey,arda guler
Deniz Gül,4 FW,Porto,TUR,Turkey,deniz gul
Hakan Çalhanoğlu ( captain ),3 MF,Inter Milan,TUR,Turkey,hakan calhanoglu
Kenan Yıldız,4 FW,Juventus,TUR,Turkey,kenan yıldız
Altay Bayındır,1 GK,Manchester United,TUR,Turkey,altay bayındır
Eren Elmalı,2 DF,Galatasaray,TUR,Turkey,eren elmalı
Abdülkerim Bardakcı,2 DF,Galatasaray,TUR,Turkey,abdulkerim bardakcı
Ozan Kabak,2 DF,TSG Hoffenheim,TUR,Turkey,ozan kabak
İsmail Yüksek,3 MF,Fenerbahçe,TUR,Turkey,ismail yuksek
İrfan Can Kahveci,4 FW,Kasımpaşa,TUR,Turkey,irfan can kahveci
Mert Müldür,2 DF,Fenerbahçe,TUR,Turkey,mert muldur
Yunus Akgün,4 FW,Galatasaray,TUR,Turkey,yunus akgun
Ferdi Kadıoğlu,2 DF,Brighton & Hove Albion,TUR,Turkey,ferdi kadıoglu
Barış Alper Yılmaz,4 FW,Galatasaray,TUR,Turkey,barıs alper yılmaz
Kaan Ayhan,3 MF,Galatasaray,TUR,Turkey,kaan ayhan
Uğurcan Çakır,1 GK,Galatasaray,TUR,Turkey,ugurcan cakır
Oğuz Aydın,4 FW,Fenerbahçe,TUR,Turkey,oguz aydın
Samet Akaydin,2 DF,Çaykur Rizespor,TUR,Turkey,samet akaydin
Can Uzun,4 FW,Eintracht Frankfurt,TUR,Turkey,can uzun
Matt Turner,1 GK,New England Revolution,USA,United States,matt turner
Sergiño Dest,2 DF,PSV Eindhoven,USA,United States,sergino dest
Chris Richards,2 DF,Crystal Palace,USA,United States,chris richards
Tyler Adams,3 MF,Bournemouth,USA,United States,tyler adams
Antonee Robinson,2 DF,Fulham,USA,United States,antonee robinson
Auston Trusty,2 DF,Celtic,USA,United States,auston trusty
Giovanni Reyna,3 MF,Borussia Mönchengladbach,USA,United States,giovanni reyna
Weston McKennie,3 MF,Juventus,USA,United States,weston mckennie
Ricardo Pepi,4 FW,PSV Eindhoven,USA,United States,ricardo pepi
Christian Pulisic,4 FW,Milan,USA,United States,christian pulisic
Brenden Aaronson,4 FW,Leeds United,USA,United States,brenden aaronson
Miles Robinson,2 DF,FC Cincinnati,USA,United States,miles robinson
Tim Ream ( captain ),2 DF,Charlotte FC,USA,United States,tim ream
Sebastian Berhalter,3 MF,Vancouver Whitecaps FC,USA,United States,sebastian berhalter
Cristian Roldan,3 MF,Seattle Sounders FC,USA,United States,cristian roldan
Alex Freeman,2 DF,Villarreal,USA,United States,alex freeman
Malik Tillman,3 MF,Bayer Leverkusen,USA,United States,malik tillman
Maximilian Arfsten,2 DF,Columbus Crew,USA,United States,maximilian arfsten
Haji Wright,4 FW,Coventry City,USA,United States,haji wright
Folarin Balogun,4 FW,Monaco,USA,United States,folarin balogun
Timothy Weah,4 FW,Marseille,USA,United States,timothy weah
Mark McKenzie,2 DF,Toulouse,USA,United States,mark mckenzie
Joe Scally,2 DF,Borussia Mönchengladbach,USA,United States,joe scally
Matt Freese,1 GK,New York City FC,USA,United States,matt freese
Chris Brady,1 GK,Chicago Fire FC,USA,United States,chris brady
Alejandro Zendejas,4 FW,América,USA,United States,alejandro zendejas
Eloy Room,1 GK,Miami FC,CUW,Curaçao,eloy room
Shurandy Sambo,2 DF,Sparta Rotterdam,CUW,Curaçao,shurandy sambo
Juriën Gaari,2 DF,Abha,CUW,Curaçao,jurien gaari
Roshon van Eijma,2 DF,RKC Waalwijk,CUW,Curaçao,roshon van eijma
Sherel Floranus,2 DF,PEC Zwolle,CUW,Curaçao,sherel floranus
Godfried Roemeratoe,3 MF,RKC Waalwijk,CUW,Curaçao,godfried roemeratoe
Juninho Bacuna,3 MF,Volendam,CUW,Curaçao,juninho bacuna
Livano Comenencia,3 MF,Zürich,CUW,Curaçao,livano comenencia
Jürgen Locadia,4 FW,Miami FC,CUW,Curaçao,jurgen locadia
Leandro Bacuna ( captain ),3 MF,Iğdır,CUW,Curaçao,leandro bacuna
Jeremy Antonisse,4 FW,Kifisia,CUW,Curaçao,jeremy antonisse
Sontje Hansen,4 FW,Middlesbrough,CUW,Curaçao,sontje hansen
Tyrese Noslin,4 FW,Telstar,CUW,Curaçao,tyrese noslin
Kenji Gorré,4 FW,Maccabi Haifa,CUW,Curaçao,kenji gorre
Ar'jany Martha,3 MF,Rotherham United,CUW,Curaçao,ar'jany martha
Jearl Margaritha,4 FW,Beveren,CUW,Curaçao,jearl margaritha
Brandley Kuwas,4 FW,Volendam,CUW,Curaçao,brandley kuwas
Armando Obispo,2 DF,PSV Eindhoven,CUW,Curaçao,armando obispo
Gervane Kastaneer,4 FW,Terengganu,CUW,Curaçao,gervane kastaneer
Joshua Brenet,2 DF,Kayserispor,CUW,Curaçao,joshua brenet
Tahith Chong,3 MF,Sheffield United,CUW,Curaçao,tahith chong
Kevin Felida,3 MF,Den Bosch,CUW,Curaçao,kevin felida
Riechedly Bazoer,2 DF,Konyaspor,CUW,Curaçao,riechedly bazoer
Deveron Fonville,2 DF,NEC,CUW,Curaçao,deveron fonville
Tyrick Bodak,1 GK,Telstar,CUW,Curaçao,tyrick bodak
Trevor Doornbusch,1 GK,VVV-Venlo,CUW,Curaçao,trevor doornbusch
Hernán Galíndez,1 GK,Huracán,ECU,Ecuador,hernan galindez
Félix Torres,2 DF,Internacional,ECU,Ecuador,felix torres
Piero Hincapié,2 DF,Arsenal,ECU,Ecuador,piero hincapie
Joel Ordóñez,2 DF,Club Brugge,ECU,Ecuador,joel ordonez
Jordy Alcívar,3 MF,Independiente del Valle,ECU,Ecuador,jordy alcivar
Willian Pacho,2 DF,Paris Saint-Germain,ECU,Ecuador,willian pacho
Pervis Estupiñán,2 DF,Milan,ECU,Ecuador,pervis estupinan
Anthony Valencia,3 MF,Antwerp,ECU,Ecuador,anthony valencia
John Yeboah,4 FW,Venezia,ECU,Ecuador,john yeboah
Kendry Páez,3 MF,River Plate,ECU,Ecuador,kendry paez
Kevin Rodríguez,4 FW,Union Saint-Gilloise,ECU,Ecuador,kevin rodriguez
Moisés Ramírez,1 GK,Kifisia,ECU,Ecuador,moises ramirez
Enner Valencia ( captain ),4 FW,Pachuca,ECU,Ecuador,enner valencia
Alan Minda,3 MF,Atlético Mineiro,ECU,Ecuador,alan minda
Pedro Vite,3 MF,UNAM,ECU,Ecuador,pedro vite
Jordy Caicedo,4 FW,Huracán,ECU,Ecuador,jordy caicedo
Ángelo Preciado,2 DF,Atlético Mineiro,ECU,Ecuador,angelo preciado
Denil Castillo,3 MF,Midtjylland,ECU,Ecuador,denil castillo
Gonzalo Plata,4 FW,Flamengo,ECU,Ecuador,gonzalo plata
Nilson Angulo,4 FW,Sunderland,ECU,Ecuador,nilson angulo
Alan Franco,3 MF,Atlético Mineiro,ECU,Ecuador,alan franco
Gonzalo Valle,1 GK,LDU Quito,ECU,Ecuador,gonzalo valle
Moisés Caicedo,3 MF,Chelsea,ECU,Ecuador,moises caicedo
Jeremy Arévalo,4 FW,VfB Stuttgart,ECU,Ecuador,jeremy arevalo
Jackson Porozo,2 DF,Tijuana,ECU,Ecuador,jackson porozo
Yaimar Medina,2 DF,Genk,ECU,Ecuador,yaimar medina
Manuel Neuer,1 GK,Bayern Munich,DEU,Germany,manuel neuer
Antonio Rüdiger,2 DF,Real Madrid,DEU,Germany,antonio rudiger
Waldemar Anton,2 DF,Borussia Dortmund,DEU,Germany,waldemar anton
Jonathan Tah,2 DF,Bayern Munich,DEU,Germany,jonathan tah
Aleksandar Pavlović,3 MF,Bayern Munich,DEU,Germany,aleksandar pavlovic
Joshua Kimmich ( captain ),2 DF,Bayern Munich,DEU,Germany,joshua kimmich
Kai Havertz,4 FW,Arsenal,DEU,Germany,kai havertz
Leon Goretzka,3 MF,Bayern Munich,DEU,Germany,leon goretzka
Jamie Leweling,3 MF,VfB Stuttgart,DEU,Germany,jamie leweling
Jamal Musiala,3 MF,Bayern Munich,DEU,Germany,jamal musiala
Nick Woltemade,4 FW,Newcastle United,DEU,Germany,nick woltemade
Oliver Baumann,1 GK,TSG Hoffenheim,DEU,Germany,oliver baumann
Pascal Groß,3 MF,Brighton & Hove Albion,DEU,Germany,pascal groß
Maximilian Beier,4 FW,Borussia Dortmund,DEU,Germany,maximilian beier
Nico Schlotterbeck,2 DF,Borussia Dortmund,DEU,Germany,nico schlotterbeck
Angelo Stiller,3 MF,VfB Stuttgart,DEU,Germany,angelo stiller
Florian Wirtz,3 MF,Liverpool,DEU,Germany,florian wirtz
Nathaniel Brown,2 DF,Eintracht Frankfurt,DEU,Germany,nathaniel brown
Leroy Sané,3 MF,Galatasaray,DEU,Germany,leroy sane
Nadiem Amiri,3 MF,Mainz 05,DEU,Germany,nadiem amiri
Alexander Nübel,1 GK,VfB Stuttgart,DEU,Germany,alexander nubel
David Raum,2 DF,RB Leipzig,DEU,Germany,david raum
Felix Nmecha,3 MF,Borussia Dortmund,DEU,Germany,felix nmecha
Malick Thiaw,2 DF,Newcastle United,DEU,Germany,malick thiaw
Lennart Karl,3 MF,Bayern Munich,DEU,Germany,lennart karl
Deniz Undav,4 FW,VfB Stuttgart,DEU,Germany,deniz undav
Yahia Fofana,1 GK,Çaykur Rizespor,CIV,Ivory Coast,yahia fofana
Ousmane Diomande,2 DF,Sporting CP,CIV,Ivory Coast,ousmane diomande
Ghislain Konan,2 DF,Gil Vicente,CIV,Ivory Coast,ghislain konan
Jean Michaël Seri,3 MF,Maribor,CIV,Ivory Coast,jean michael seri
Wilfried Singo,2 DF,Galatasaray,CIV,Ivory Coast,wilfried singo
Seko Fofana,3 MF,Porto,CIV,Ivory Coast,seko fofana
Odilon Kossounou,2 DF,Atalanta,CIV,Ivory Coast,odilon kossounou
Franck Kessié ( captain ),3 MF,Al-Ahli,CIV,Ivory Coast,franck kessie
Ange-Yoan Bonny,4 FW,Inter Milan,CIV,Ivory Coast,ange-yoan bonny
Simon Adingra,4 FW,Monaco,CIV,Ivory Coast,simon adingra
Yan Diomande,4 FW,RB Leipzig,CIV,Ivory Coast,yan diomande
Elye Wahi,4 FW,Nice,CIV,Ivory Coast,elye wahi
Christopher Opéri,2 DF,İstanbul Başakşehir,CIV,Ivory Coast,christopher operi
Oumar Diakité,4 FW,Cercle Brugge,CIV,Ivory Coast,oumar diakite
Amad Diallo,4 FW,Manchester United,CIV,Ivory Coast,amad diallo
Mohamed Koné,1 GK,Charleroi,CIV,Ivory Coast,mohamed kone
Guéla Doué,2 DF,Strasbourg,CIV,Ivory Coast,guela doue
Ibrahim Sangaré,3 MF,Nottingham Forest,CIV,Ivory Coast,ibrahim sangare
Nicolas Pépé,4 FW,Villarreal,CIV,Ivory Coast,nicolas pepe
Emmanuel Agbadou,2 DF,Beşiktaş,CIV,Ivory Coast,emmanuel agbadou
Evan Ndicka,2 DF,Roma,CIV,Ivory Coast,evan ndicka
Evann Guessand,4 FW,Crystal Palace,CIV,Ivory Coast,evann guessand
Alban Lafont,1 GK,Panathinaikos,CIV,Ivory Coast,alban lafont
Bazoumana Touré,4 FW,TSG Hoffenheim,CIV,Ivory Coast,bazoumana toure
Parfait Guiagon,3 MF,Charleroi,CIV,Ivory Coast,parfait guiagon
Christ Inao Oulaï,3 MF,Trabzonspor,CIV,Ivory Coast,christ inao oulai
Zion Suzuki,1 GK,Parma,JPN,Japan,zion suzuki
Yukinari Sugawara,2 DF,Werder Bremen,JPN,Japan,yukinari sugawara
Shōgo Taniguchi,2 DF,Sint-Truiden,JPN,Japan,shogo taniguchi
Kō Itakura,2 DF,Ajax,JPN,Japan,ko itakura
Yūto Nagatomo,2 DF,FC Tokyo,JPN,Japan,yuto nagatomo
Wataru Endo ( captain ),3 MF,Liverpool,JPN,Japan,wataru endo
Ao Tanaka,3 MF,Leeds United,JPN,Japan,ao tanaka
Takefusa Kubo,3 MF,Real Sociedad,JPN,Japan,takefusa kubo
Keisuke Gotō,4 FW,Sint-Truiden,JPN,Japan,keisuke goto
Ritsu Dōan,3 MF,Eintracht Frankfurt,JPN,Japan,ritsu doan
Daizen Maeda,3 MF,Celtic,JPN,Japan,daizen maeda
Keisuke Ōsako,1 GK,Sanfrecce Hiroshima,JPN,Japan,keisuke osako
Keito Nakamura,3 MF,Reims,JPN,Japan,keito nakamura
Junya Itō,3 MF,Genk,JPN,Japan,junya ito
Daichi Kamada,3 MF,Crystal Palace,JPN,Japan,daichi kamada
Tsuyoshi Watanabe,2 DF,Feyenoord,JPN,Japan,tsuyoshi watanabe
Yuito Suzuki,3 MF,SC Freiburg,JPN,Japan,yuito suzuki
Ayase Ueda,4 FW,Feyenoord,JPN,Japan,ayase ueda
Kōki Ogawa,4 FW,NEC,JPN,Japan,koki ogawa
Ayumu Seko,2 DF,Le Havre,JPN,Japan,ayumu seko
Hiroki Itō,2 DF,Bayern Munich,JPN,Japan,hiroki ito
Takehiro Tomiyasu,2 DF,Ajax,JPN,Japan,takehiro tomiyasu
Tomoki Hayakawa,1 GK,Kashima Antlers,JPN,Japan,tomoki hayakawa
Kaishū Sano,3 MF,Mainz 05,JPN,Japan,kaishu sano
Junnosuke Suzuki,2 DF,Copenhagen,JPN,Japan,junnosuke suzuki
Kento Shiogai,4 FW,VfL Wolfsburg,JPN,Japan,kento shiogai
Bart Verbruggen,1 GK,Brighton & Hove Albion,NLD,Netherlands,bart verbruggen
Jurriën Timber,2 DF,Arsenal,NLD,Netherlands,jurrien timber
Marten de Roon,3 MF,Atalanta,NLD,Netherlands,marten de roon
Virgil van Dijk ( captain ),2 DF,Liverpool,NLD,Netherlands,virgil van dijk
Nathan Aké,2 DF,Manchester City,NLD,Netherlands,nathan ake
Jan Paul van Hecke,2 DF,Brighton & Hove Albion,NLD,Netherlands,jan paul van hecke
Justin Kluivert,3 MF,Bournemouth,NLD,Netherlands,justin kluivert
Ryan Gravenberch,3 MF,Liverpool,NLD,Netherlands,ryan gravenberch
Wout Weghorst,4 FW,Ajax,NLD,Netherlands,wout weghorst
Memphis Depay,4 FW,Corinthians,NLD,Netherlands,memphis depay
Cody Gakpo,4 FW,Liverpool,NLD,Netherlands,cody gakpo
Mats Wieffer,2 DF,Brighton & Hove Albion,NLD,Netherlands,mats wieffer
Robin Roefs,1 GK,Sunderland,NLD,Netherlands,robin roefs
Tijjani Reijnders,3 MF,Manchester City,NLD,Netherlands,tijjani reijnders
Micky van de Ven,2 DF,Tottenham Hotspur,NLD,Netherlands,micky van de ven
Guus Til,3 MF,PSV Eindhoven,NLD,Netherlands,guus til
Noa Lang,4 FW,Galatasaray,NLD,Netherlands,noa lang
Donyell Malen,4 FW,Roma,NLD,Netherlands,donyell malen
Brian Brobbey,4 FW,Sunderland,NLD,Netherlands,brian brobbey
Teun Koopmeiners,3 MF,Juventus,NLD,Netherlands,teun koopmeiners
Frenkie de Jong,3 MF,Barcelona,NLD,Netherlands,frenkie de jong
Denzel Dumfries,2 DF,Inter Milan,NLD,Netherlands,denzel dumfries
Mark Flekken,1 GK,Bayer Leverkusen,NLD,Netherlands,mark flekken
Crysencio Summerville,4 FW,West Ham United,NLD,Netherlands,crysencio summerville
Jorrel Hato,2 DF,Chelsea,NLD,Netherlands,jorrel hato
Quinten Timber,3 MF,Marseille,NLD,Netherlands,quinten timber
Jacob Widell Zetterström,1 GK,Derby County,SWE,Sweden,jacob widell zetterstrom
Gustaf Lagerbielke,2 DF,Braga,SWE,Sweden,gustaf lagerbielke
Victor Lindelöf ( captain ),2 DF,Aston Villa,SWE,Sweden,victor lindelof
Isak Hien,2 DF,Atalanta,SWE,Sweden,isak hien
Gabriel Gudmundsson,2 DF,Leeds United,SWE,Sweden,gabriel gudmundsson
Herman Johansson,2 DF,FC Dallas,SWE,Sweden,herman johansson
Lucas Bergvall,3 MF,Tottenham Hotspur,SWE,Sweden,lucas bergvall
Daniel Svensson,2 DF,Borussia Dortmund,SWE,Sweden,daniel svensson
Alexander Isak,4 FW,Liverpool,SWE,Sweden,alexander isak
Benjamin Nygren,3 MF,Celtic,SWE,Sweden,benjamin nygren
Anthony Elanga,4 FW,Newcastle United,SWE,Sweden,anthony elanga
Viktor Johansson,1 GK,Stoke City,SWE,Sweden,viktor johansson
Ken Sema,3 MF,Pafos,SWE,Sweden,ken sema
Hjalmar Ekdal,2 DF,Burnley,SWE,Sweden,hjalmar ekdal
Carl Starfelt,2 DF,Celta Vigo,SWE,Sweden,carl starfelt
Jesper Karlström,3 MF,Udinese,SWE,Sweden,jesper karlstrom
Viktor Gyökeres,4 FW,Arsenal,SWE,Sweden,viktor gyokeres
Yasin Ayari,3 MF,Brighton & Hove Albion,SWE,Sweden,yasin ayari
Mattias Svanberg,3 MF,VfL Wolfsburg,SWE,Sweden,mattias svanberg
Eric Smith,2 DF,FC St. Pauli,SWE,Sweden,eric smith
Alexander Bernhardsson,2 DF,Holstein Kiel,SWE,Sweden,alexander bernhardsson
Besfort Zeneli,3 MF,Union Saint-Gilloise,SWE,Sweden,besfort zeneli
Kristoffer Nordfeldt,1 GK,AIK,SWE,Sweden,kristoffer nordfeldt
Elliot Stroud,2 DF,Mjällby AIF,SWE,Sweden,elliot stroud
Gustaf Nilsson,4 FW,Club Brugge,SWE,Sweden,gustaf nilsson
Taha Ali,4 FW,Malmö FF,SWE,Sweden,taha ali
Mouhib Chamakh,1 GK,Club Africain,TUN,Tunisia,mouhib chamakh
Ali Abdi,2 DF,Nice,TUN,Tunisia,ali abdi
Montassar Talbi,2 DF,Lorient,TUN,Tunisia,montassar talbi
Omar Rekik,2 DF,Maribor,TUN,Tunisia,omar rekik
Adem Arous,2 DF,Kasımpaşa,TUN,Tunisia,adem arous
Dylan Bronn,2 DF,Servette,TUN,Tunisia,dylan bronn
Elias Achouri,4 FW,Copenhagen,TUN,Tunisia,elias achouri
Elias Saad,4 FW,Hannover 96,TUN,Tunisia,elias saad
Hazem Mastouri,4 FW,Dynamo Makhachkala,TUN,Tunisia,hazem mastouri
Hannibal Mejbri,3 MF,Burnley,TUN,Tunisia,hannibal mejbri
Ismaël Gharbi,3 MF,FC Augsburg,TUN,Tunisia,ismael gharbi
Mortadha Ben Ouanes,2 DF,Kasımpaşa,TUN,Tunisia,mortadha ben ouanes
Rani Khedira,3 MF,Union Berlin,TUN,Tunisia,rani khedira
Khalil Ayari,3 MF,Paris Saint-Germain,TUN,Tunisia,khalil ayari
Hadj Mahmoud,3 MF,Lugano,TUN,Tunisia,hadj mahmoud
Aymen Dahmen,1 GK,CS Sfaxien,TUN,Tunisia,aymen dahmen
Ellyes Skhiri ( captain ),3 MF,Eintracht Frankfurt,TUN,Tunisia,ellyes skhiri
